bact.trt,Plant,Wt,Block,host.trt,species,n.strains,nodulation,rhiz.strain,rhiz.genus,bact.div
15,B,1.49,C,sal&sten,sal,1,2,D3,sino,1
15,A,0.09,D,sal&sten,sten,1,0,D3,sino,1
15,B,0.1,D,sal&sten,sal,1,0,D3,sino,1
15,A,0.07,E,sal&sten,sten,1,0,D3,sino,1
15,B,0.08,E,sal&sten,sal,1,0,D3,sino,1
15,A,0.19,F,sal&sten,sten,1,0,D3,sino,1
15,B,0.03,F,sal&sten,sal,1,0,D3,sino,1
15,B,0.06,B,sal,sal,1,0,D3,sino,1
15,A,0.17,A,sal&sten,sten,1,0,D3,sino,1
15,B,0.09,A,sal&sten,sal,1,0,D3,sino,1
15,A,0.1,B,sal&sten,sten,1,1,D3,sino,1
15,B,0.07,B,sal&sten,sal,1,0,D3,sino,1
15,A,0.13,A,sten,sten,1,0,D3,sino,1
15,B,0.1,A,sten,sten,1,0,D3,sino,1
15,A,0.26,B,sten,sten,1,0,D3,sino,1
15,B,0.1,B,sten,sten,1,0,D3,sino,1
15,A,1.16,C,sten,sten,1,2,D3,sino,1
15,A,0.12,A,sal,sal,1,0,D3,sino,1
15,B,0.75,A,sal,sal,1,3,D3,sino,1
15,A,0.09,B,sal,sal,1,0,D3,sino,1
15,B,0.36,F,sal,sal,1,3,D3,sino,1
15,A,0.12,C,sal,sal,1,0,D3,sino,1
15,B,0.08,C,sal,sal,1,0,D3,sino,1
15,A,0.07,D,sal,sal,1,0,D3,sino,1
16,A,0.19,A,sal&sten,sten,1,0,D4,sino,1
16,B,0.09,A,sten,sten,1,0,D4,sino,1
16,A,0.26,B,sten,sten,1,0,D4,sino,1
16,B,0.06,B,sten,sten,1,0,D4,sino,1
16,A,0.11,A,sten,sten,1,0,D4,sino,1
16,B,0.1,C,sten,sten,1,0,D4,sino,1
16,A,0.15,D,sten,sten,1,0,D4,sino,1
16,B,0.0599,D,sten,sten,1,0,D4,sino,1
16,A,0.11,E,sten,sten,1,0,D4,sino,1
16,B,0.07,E,sten,sten,1,0,D4,sino,1
16,A,NA,F,sten,sten,1,NA,D4,sino,1
16,B,NA,F,sten,sten,1,NA,D4,sino,1
16,B,0.03,D,sal,sal,1,1,D4,sino,1
16,A,0.14,E,sal,sal,1,0,D4,sino,1
16,B,0.06,E,sal,sal,1,0,D4,sino,1
16,A,0.03,F,sal,sal,1,0,D4,sino,1
16,B,0.19,F,sal,sal,1,0,D4,sino,1
16,B,0.17,D,sal&sten,sal,1,0,D4,sino,1
16,A,0.16,E,sal&sten,sten,1,0,D4,sino,1
16,B,0.11,E,sal&sten,sal,1,0,D4,sino,1
16,A,0.04,F,sal&sten,sten,1,0,D4,sino,1
16,B,0.08,F,sal&sten,sal,1,2,D4,sino,1
16,B,0.08,B,sal,sal,1,0,D4,sino,1
16,A,0.07,C,sal,sal,1,0,D4,sino,1
16,B,0.06,A,sal&sten,sal,1,0,D4,sino,1
16,A,0.14,B,sal&sten,sten,1,0,D4,sino,1
16,B,0.0894,B,sal&sten,sal,1,0,D4,sino,1
16,A,0.07,C,sal&sten,sten,1,0,D4,sino,1
16,B,0.11,C,sal&sten,sal,2,0,D4,sino,1
16,A,0.22,D,sal&sten,sten,1,1,D4,sino,1
16,A,0.0721,B,sal,sal,1,0,D4,sino,1
16,A,0.07,C,sten,sten,1,0,D4,sino,1
16,A,0.07,A,sal,sal,1,0,D4,sino,1
16,B,0.11,A,sal,sal,1,0,D4,sino,1
